index,x,y,z,xn,yn,zn,error
1346,-7.485657,-4.218421,-0.130181,-0.094769,-0.950256,-0.296702,5.491661
1347,-7.330822,-4.451053,0.844422,-0.007159,-0.997110,-0.075627,4.948049
1348,-7.192000,-4.390057,1.753376,-0.010779,-0.979351,0.201881,2.536969
1349,-7.109178,-4.101704,2.663812,0.014685,-0.875405,0.483167,7.949461
1350,-6.978301,-3.442819,3.450986,0.029692,-0.650247,0.759143,7.160969
1351,-6.882301,-2.588635,3.869977,0.030532,-0.388269,0.921040,8.994305
1352,-6.829396,-1.542727,4.122341,0.002791,-0.117731,0.993042,13.716526
1353,-6.865497,-0.564695,4.099241,-0.015400,0.077920,0.996841,4.174033
1354,-6.889670,0.319916,3.918186,-0.022406,0.297022,0.954608,7.651619
1355,-6.875794,1.252830,3.533812,0.023628,0.440090,0.897643,7.661779
1356,-6.795369,2.042833,3.060930,0.028852,0.532701,0.845812,12.046254
1357,-6.733760,2.744088,2.370951,-0.004081,0.654793,0.737183,8.612122
1358,-6.672150,3.445344,1.680971,-0.037014,0.776884,0.628555,5.177990
1359,-6.721924,3.925798,0.973048,-0.049217,0.902831,0.427170,12.850091
1360,-6.708291,4.391292,0.024864,-0.023450,0.973829,0.226071,7.520216
1361,-6.724306,4.506059,-0.923514,-0.034602,0.999337,0.011327,9.670429
1362,-6.825523,4.177869,-1.875767,-0.075547,0.912888,-0.401158,7.135443
1363,-7.006806,3.582639,-2.689041,-0.084557,0.697883,-0.711203,5.160621
1364,-7.116011,2.779853,-3.184663,-0.137438,0.470158,-0.871815,2.273818
1365,-7.305194,1.888010,-3.569053,-0.133978,0.240109,-0.961456,11.115921
1366,-7.433093,0.997414,-3.780420,-0.142020,0.031156,-0.989373,13.724529
1367,-7.597395,-0.005996,-3.616062,-0.142212,-0.133534,-0.980788,9.981055
1368,-7.614026,-0.879316,-3.246549,-0.147564,-0.340697,-0.928521,5.988643
1369,-7.216340,-1.655080,-3.022112,-0.156990,-0.474920,-0.865913,10.350224
1370,-6.729519,-1.040907,-3.403870,-0.152728,-0.325841,-0.933007,8.859315
1371,-6.646477,-0.129738,-3.670255,-0.136125,-0.128420,-0.982333,5.641435
1372,-6.483986,0.832597,-3.809389,-0.146170,0.016576,-0.989121,13.950341
1373,-6.384775,1.819750,-3.669003,-0.142400,0.258313,-0.955509,9.924129
1374,-6.309718,2.668528,-3.321769,-0.143281,0.444466,-0.884263,12.885725
1375,-6.162816,3.497047,-2.831899,-0.150991,0.648343,-0.746226,12.569815
1376,-6.041420,4.136311,-2.064913,-0.139622,0.910549,-0.389110,14.709696
1377,-5.923625,4.520475,-1.166454,-0.138645,0.983185,-0.118845,4.738305
1378,-5.862416,4.510209,-0.162835,-0.130540,0.982356,0.133929,9.983886
1379,-5.875549,4.123106,0.718027,-0.133627,0.948849,0.286057,8.724754
1380,-5.887533,3.555005,1.508746,-0.107128,0.846617,0.521309,14.302913
1381,-5.861796,2.897419,2.311238,-0.098880,0.714443,0.692671,2.416707
1382,-5.854335,2.048916,2.729075,-0.095749,0.538053,0.768560,3.136651
1383,-5.846875,1.200414,3.146912,-0.092618,0.361662,0.844448,3.856595
1384,-5.839414,0.351911,3.564748,-0.089488,0.185271,0.920336,4.576539
1385,-5.831954,-0.496591,3.982585,-0.086357,0.008881,0.996225,5.296483
1386,-5.879758,-1.395541,3.931816,-0.092725,-0.129797,0.987195,11.416415
1387,-5.849508,-2.364280,3.883661,-0.069081,-0.351186,0.933754,7.367359
1388,-5.982749,-3.313545,3.549964,-0.047607,-0.560443,0.826823,8.416402
1389,-6.040636,-4.054069,2.867910,-0.090374,-0.785897,0.611717,8.171318
1390,-6.192283,-4.414828,1.991446,-0.107217,-0.914842,0.389319,10.490149
1391,-6.345280,-4.523631,1.051967,-0.134053,-0.986518,0.093874,10.457107
1392,-6.497993,-4.370283,0.079791,-0.163219,-0.963852,-0.210591,9.106228
1393,-6.620085,-4.057298,-0.827232,-0.142652,-0.901901,-0.407708,8.429136
1394,-6.724877,-3.528553,-1.588040,-0.155524,-0.826856,-0.540483,2.672969
1395,-6.752479,-2.870271,-2.375743,-0.177050,-0.662187,-0.728122,6.566736
1396,-6.393607,-2.177670,-2.754099,-0.172749,-0.549474,-0.817457,13.119873
1397,-5.814862,-2.747135,-2.562360,-0.184082,-0.613348,-0.768061,6.508568
1398,-5.669755,-3.384140,-1.855305,-0.204624,-0.742113,-0.638277,7.409319
1399,-5.588678,-3.980043,-1.102598,-0.189443,-0.867507,-0.459939,8.055617
1400,-5.507347,-4.436689,-0.274642,-0.188672,-0.927134,-0.323767,8.070616
1401,-5.411160,-4.655260,0.705088,-0.180766,-0.983252,-0.023237,11.457168
1402,-5.312215,-4.660984,1.702101,-0.175041,-0.951269,0.253864,9.072362
1403,-5.214739,-4.305410,2.588676,-0.182957,-0.864452,0.468241,7.895276
1404,-5.074933,-3.688407,3.365293,-0.145443,-0.717352,0.681360,15.649467
1405,-5.053201,-2.876174,3.809315,-0.113317,-0.482491,0.868540,4.701339
1406,-5.005673,-1.840169,4.026415,-0.102096,-0.301234,0.948069,10.136355
1407,-5.016857,-0.917011,4.139825,-0.105439,-0.124085,0.986654,5.219462
1408,-11.240955,-2.637852,-1.425925,-0.166695,-0.671969,-0.721575,11.358736
1409,-11.212154,-3.418634,-0.833770,-0.158107,-0.753804,-0.637795,6.000446
1410,-11.193464,-4.087760,-0.122761,-0.111176,-0.838071,-0.534113,10.128860
1411,-11.066286,-4.588214,0.738506,-0.016702,-0.957716,-0.287229,12.160440
1412,-10.889716,-4.697899,1.735153,0.043451,-0.998934,-0.015557,15.485568
1413,-10.768745,-4.635724,2.742026,0.046132,-0.944739,0.324562,12.137978
1414,-10.697824,-3.992056,3.549695,-0.038508,-0.705830,0.707333,8.273605
1415,-10.638885,-3.165596,3.977525,0.031914,-0.486231,0.873247,16.410611
1416,-10.601298,-2.181137,4.165813,0.099989,-0.236394,0.966499,10.026260
1417,-10.725581,-1.179803,4.218060,0.099899,0.015615,0.994875,3.772621
1418,-11.191965,-0.433393,4.065759,0.086180,0.117542,0.989321,4.931734
1419,-11.676477,-1.209466,4.206620,0.153230,-0.051463,0.986850,5.558832
1420,-11.576034,-2.115334,4.264918,0.172107,-0.221951,0.959748,6.871674
1421,-11.456215,-3.123010,4.107774,0.161800,-0.455816,0.875244,10.630147
1422,-11.482762,-4.043915,3.599493,0.355766,-0.628505,0.691674,6.418477
1423,-11.467493,-4.717385,2.839209,0.357256,-0.932902,-0.045417,18.434474
1424,-11.641554,-4.912204,1.868408,0.126068,-0.967793,-0.217906,6.042536
1425,-11.826360,-4.722276,0.915319,-0.066710,-0.930447,-0.360304,13.976004
1426,-12.019777,-4.184526,0.169064,-0.114143,-0.867722,-0.483767,7.137075
1427,-12.085304,-3.410738,-0.448863,-0.177928,-0.770802,-0.611723,9.796154
1428,-12.085759,-2.828413,-1.213898,-0.185752,-0.669105,-0.719580,4.445770
1429,-12.147030,-2.036103,-1.826114,-0.172791,-0.568460,-0.804361,0.508361
1430,-13.067761,-1.880367,-1.630906,-0.172364,-0.595101,-0.784949,9.036666
1431,-14.024044,-1.854821,-1.383845,-0.194908,-0.636681,-0.746088,5.621358
